kind,iso3,operator,url
fiber,GAB,Airtel Gabon,https://blog.iambeezy.app/fr/forfaits-mobile-gabon-airtel-moov-libertis-2026/
fiber,GAB,Libertis,https://blog.iambeezy.app/fr/forfaits-mobile-gabon-airtel-moov-libertis-2026/
fiber,GBR,BT (Openreach),https://www.bt.com
fiber,GBR,Virgin Media,https://www.virginmedia.com
fiber,GBR,Sky (Openreach FTTP),https://www.sky.com
fiber,GEO,MagtiCom,https://www.magticom.ge/en/internet/internet-tariffs/internet-packages
fiber,GEO,Silknet,https://silknet.com/en/
fiber,GEO,Neo Net,https://neonet.ge/ge/home
fiber,GHA,MTN Ghana,https://asetenapa.com/mtn-fibre-broadband/
fiber,GHA,Telecel Ghana,https://www.jbklutse.com/home-internet-prices-ghana/
fiber,GHA,Busy Internet,https://www.jbklutse.com/home-internet-prices-ghana/
fiber,GIN,Orange Guinea,https://vosreponses.com/quels-sont-les-meilleurs-forfaits-internet-en-guinee/
fiber,GIN,MTN Guinea,https://www.visitconakry.fr/telecoms-internet-et-mobile-money-en-guinee/
fiber,GMB,Gamtel (Gambia Telecom),https://en.wikipedia.org/wiki/Gamtel
fiber,GMB,Africell Gambia,https://www.africell.gm/bundle/data-bundles/
fiber,GMB,QCell Gambia,https://qcell.gm/
fiber,GNB,Orange Guinea-Bissau,https://www.telecomtrainer.com/list-of-mobile-operators-in-guinea-bissau/
fiber,GNB,MTN Guinea-Bissau,https://www.telecomtrainer.com/list-of-mobile-operators-in-guinea-bissau/
fiber,GNQ,GETESA,https://getesa.gq/fr/
fiber,GRC,COSMOTE (OTE),https://www.cosmote.gr
fiber,GRC,Vodafone Greece,https://www.vodafone.gr
fiber,GRC,Nova,https://www.nova.gr
fiber,GRD,Flow,https://www.flowgrenada.com
fiber,GRD,Digicel,https://www.digicelgroup.com
fiber,GTM,Tigo,https://livinginguatemala.com/es/guias/internet-guatemala/
fiber,GTM,Claro,https://www.claro.com.gt/personas/servicios/servicios-hogar/fibra-optica/
fiber,GUY,GTT,https://www.gtt.co.gy
fiber,GUY,Digicel,https://www.digicelgroup.com
fiber,GUY,E-Networks,https://www.enetworks.gy
fiber,HND,Tigo,https://www.tigo.com.hn
fiber,HND,Claro,https://www.claro.com.hn
fiber,HND,Hondutel,http://www.hondutel.hn
fiber,HRV,Hrvatski Telekom,https://www.hrvatskitelekom.hr
fiber,HRV,A1 Hrvatska,https://www.a1.hr
fiber,HRV,Telemach Hrvatska,https://telemach.hr
fiber,HTI,Natcom,https://natcom.ht
fiber,HUN,Magyar Telekom,https://www.telekom.hu
fiber,HUN,DIGI Hungary,https://www.digi.hu
fiber,HUN,Vodafone Hungary,https://www.one.hu
fiber,IDN,IndiHome,https://www.telkomsel.com/en/indihome
fiber,IDN,Biznet,https://biznethome.net/product/packages
fiber,IDN,MyRepublic,https://myrepublicdaftarinternet.com/daftar-paket
fiber,IND,Reliance Jio (JioFiber),https://www.citizennest.com/guide/jio-fiber-airtel-broadband
fiber,IND,Bharti Airtel (Airtel Xstream Fiber),https://www.airtel.in/plans/broadband/200-mbps-speed
fiber,IND,ACT Fibernet,https://www.gadgets360.com/broadband-plans/act-chennai
fiber,IRL,eir,https://en.wikipedia.org/wiki/Telecommunications_in_the_Republic_of_Ireland
fiber,IRL,Virgin Media Ireland,https://en.wikipedia.org/wiki/Telecommunications_in_the_Republic_of_Ireland
fiber,IRL,Vodafone Ireland,https://en.wikipedia.org/wiki/Telecommunications_in_the_Republic_of_Ireland
fiber,IRQ,EarthLink,https://stg.earthlink.iq/en/standard-package/
fiber,IRQ,iQ Online (iQ Group),https://iqonline.com/broadband
fiber,ISL,Síminn,https://en.wikipedia.org/wiki/Internet_in_Iceland
fiber,ISL,Sýn (Vodafone Iceland),https://en.wikipedia.org/wiki/Internet_in_Iceland
fiber,ISL,Nova,https://en.wikipedia.org/wiki/Internet_in_Iceland
fiber,ISR,Partner,https://www.partner.co.il/en/
fiber,ISR,Cellcom,https://www.cellcom.co.il/en/
fiber,ISR,Bezeq,https://en.wikipedia.org/wiki/Bezeq
fiber,ITA,TIM,https://www.tim.it
fiber,ITA,WindTre,https://www.windtre.it
fiber,ITA,Fastweb,https://www.fastweb.it
fiber,JAM,Flow,https://www.flowjamaica.com
fiber,JAM,Digicel,https://www.digicelgroup.com/jm/en/home-and-entertainment/internet
fiber,JOR,Orange Jordan,https://eshop.orange.jo/en/internet/fiber-offers/fiber-200-mbps
fiber,JOR,Umniah,https://eshop.umniah.com/en/plans/internet/fiber.html
fiber,JOR,Zain Jordan,https://eshop.jo.zain.com/en/internet/fiber/packages
fiber,JPN,NTT東日本,https://www.ntt-east.co.jp/en/product/internet_flets_hikari.html
fiber,JPN,NTT西日本,https://flets-w.com/english/next/
fiber,JPN,KDDI,https://www.au.com/english/internet/
fiber,JPN,NURO,https://www.nuro.jp/hikari/
fiber,KAZ,JSC Kazakhtelecom,https://telecom.kz/en/common/idnet
fiber,KAZ,Beeline Kazakhstan,https://qrnews.kz/en/news/beeline-and-tele2-announce-upcoming-tariff-increases-F06I1
fiber,KAZ,Altel,https://finance.kz/internet/altel
fiber,KEN,Safaricom,https://tech-ish.com/2026/09/15/safaricom-home-fibre-pata-more-speeds-data-voice/
fiber,KEN,Jamii Telecommunications,https://tech-ish.com/2025/04/01/faiba-home-plus-plans-in-kenya/
fiber,KEN,Zuku (Wananchi/Yas),https://techtrendske.co.ke/2026/08/04/zuku-fiber-new-prices-kenya/
fiber,KGZ,OJSC Kyrgyztelecom,https://kt.kg/en
fiber,KGZ,ElCat Ltd,https://elcat.kg/en/rate
fiber,KGZ,AKNET Ltd,https://aknet.kg/
fiber,KHM,Ezecom,https://www.ezecom.com.kh/personal/internet
fiber,KHM,SINet,https://www.sinet.com.kh/internet-solution/fiber-plus/
fiber,KHM,MekongNet,https://www.mekongnet.com.kh/
fiber,KIR,OceanLink,https://www.oceanlink.ki/plans
fiber,KIR,Vodafone Kiribati,https://vodafone.com.ki/
fiber,KNA,Flow,https://discoverflow.co
fiber,KNA,Digicel,https://www.digicelgroup.com
fiber,KOR,KT,https://m.product.kt.com/mDic/productDetail.do?ItemCode=1504
fiber,KOR,SK Broadband,https://en.wikipedia.org/wiki/SK_Broadband
fiber,KOR,LG U+,https://setkora.com/internet/lgu-100-solo
fiber,KWT,Ooredoo,https://gsmplans.com/plan/kuwait/ooredoo-home-internet-kuwait/
fiber,KWT,STC Kuwait,https://gsmplans.com/plan/kuwait/stc-kuwait-home-internet/
fiber,LAO,Lao Telecom,https://www.laotel.com/la/new-package-ftth.php?Lang=en
fiber,LAO,Unitel,https://www.unitel.com.la/en
fiber,LBN,OGERO,https://waradana.com/english/article/265591-fiber-internet-prices-in-lebanon-a-comprehensive-guide
fiber,LBN,IDM,https://www.idm.net.lb/fiber.html
fiber,LBN,Cyberia,https://cyberia.net.lb/cybersmart-fiber.php
fiber,LBR,Orange Liberia,https://www.orange.com.lr/en/voice-and-data-offers.html
fiber,LBR,Lonestar Cell (MTN Liberia),https://lonestarcell.com/data-bundle/
fiber,LBR,Novafone,https://www.telecomtrainer.com/list-of-mobile-operators-in-liberia/
fiber,LBY,Libya Telecom & Technology (LTT),https://www.ltt.ly/personal/fiber
fiber,LCA,Flow,https://discoverflow.co
fiber,LCA,Digicel,https://www.digicelgroup.com
fiber,LIE,Telecom Liechtenstein AG (FL1),https://www.fl1.li
fiber,LIE,Salt (Liechtenstein) AG,https://www.salt.ch
fiber,LIE,SupraNet AG,https://www.supranet.li
fiber,LKA,Sri Lanka Telecom (SLT Fibre),https://slt.lk/en/broadband/packages
fiber,LKA,Dialog Axiata,https://dialog.lk/wi-fi/fibre
fiber,LSO,Econet Telecom Lesotho,https://techbiva.com/data/lesotho-internet-packages-data-plans/
fiber,LSO,Vodacom Lesotho,https://techbiva.com/data/lesotho-internet-packages-data-plans/
fiber,LSO,Leo Lesotho,https://techbiva.com/data/lesotho-internet-packages-data-plans/
fiber,LTU,Telia Lietuva,https://www.telia.lt
fiber,LTU,Cgates,https://www.cgates.lt
fiber,LTU,Init,https://init.lt/internet-offer/
fiber,LUX,POST Luxembourg,https://www.post.lu
fiber,LUX,Eltrona,https://eltrona.lu
fiber,LUX,Tango,https://www.tango.lu
fiber,LVA,Tet (Lattelecom),https://www.tet.lv
fiber,LVA,Balticom,https://balticom.lv/en/internet
fiber,LVA,Bite Latvija,https://www.bite.lv/lv/optiskais-majas-internets
fiber,MAR,Maroc Telecom,https://fiberoptic.ma/comparatif-fibre-optique-maroc-2026-orange-inwi-ou-maroc-telecom/
fiber,MAR,Orange Morocco,https://fiberoptic.ma/comparatif-fibre-optique-maroc-2026-orange-inwi-ou-maroc-telecom/
fiber,MAR,inwi,https://fiberoptic.ma/comparatif-fibre-optique-maroc-2026-orange-inwi-ou-maroc-telecom/
fiber,MCO,Monaco Telecom,https://monaco-telecom.mc
fiber,MCO,Orange France,https://www.orange.fr
fiber,MCO,SFR,https://www.sfr.fr
fiber,MDA,Moldtelecom,https://en.wikipedia.org/wiki/Internet_in_Moldova
fiber,MDA,StarNet,https://en.wikipedia.org/wiki/Internet_in_Moldova
fiber,MDA,Orange Moldova,https://en.wikipedia.org/wiki/Internet_in_Moldova
fiber,MDG,Telma,https://midi-madagasikara.mg/telma-lancement-de-fibrein-loffre-internet-la-moins-chere-en-afrique/
fiber,MDV,Dhiraagu,https://www.dhiraagu.com.mv/
fiber,MDV,Ooredoo Maldives,https://www.ooredoo.mv/broadband/supernet-fibre-broadband
fiber,MEX,Telmex,https://mejorconexion.mx/blog/internet-telmex-infinitum-planes-precios-2026.html
fiber,MEX,Totalplay,https://mejorconexion.mx/planes-internet/telmex-vs-izzi-vs-totalplay-mexico.html
fiber,MEX,izzi,https://mejorconexion.mx/blog/infinitum-vs-izzi-opiniones-2026.html
fiber,MHL,NTA (National Telecommunications Authority),https://ntamar.net/index.php/services/internet
fiber,MKD,Makedonski Telekom,https://www.mkk.com.mk
fiber,MKD,ONE Macedonia,https://one.mk
fiber,MKD,A1 Macedonia,https://www.a1.mk
fiber,MLI,Orange Mali,https://www.africascoop.net/index.php/2026/08/20/lancement-des-nouvelles-offres-internet-reside
fiber,MLI,Moov Africa Mali (Malitel),https://www.moov-africa.ml/mafibre/Pages/MA-FIBRE.aspx
fiber,MLT,GO,https://www.go.com.mt
fiber,MLT,Melita,https://www.melita.com
fiber,MLT,Epic,https://www.epic.com.mt
fiber,MMR,MPT,https://www.mpt.com.mm/
fiber,MMR,Myanmar Net,https://www.myanmarnet.com/
fiber,MNE,Crnogorski Telekom,https://telekom.me
fiber,MNE,Telemach Montenegro,https://telemach.me
fiber,MNE,m:tel Montenegro,https://mtel.me
fiber,MNG,Unitel,https://www.unitel.mn/en
fiber,MNG,Mobicom,https://www.mobicom.mn/
fiber,MNG,Skytel,https://www.skytel.mn/
fiber,MOZ,Vodacom Moçambique,https://infromoz.com/tecnologia/pacotes-de-internet-vodacom-2026-precos-megas-e-codigos-de-ativacao/
fiber,MOZ,Tmcel,https://www.tmcel.mz/
fiber,MRT,Moov Mauritel,https://are.mr/pdfs/tarifs_mauritel_juin_2025.pdf
fiber,MRT,Rimatel,https://are.mr/pdfs/tarifs_rimatel_juin_2025.pdf
fiber,MRT,Mattel (Mauritania Telecom),https://are.mr/
fiber,MRT,Moov Mauritel (ex-Mauritel),https://are.mr/pdfs/tarifs_mauritel_juin_2025.pdf
fiber,MUS,Mauritius Telecom (Orange / my.t),https://www.myt.mu/
fiber,MWI,Malawi Telecommunications (MTL),https://en.wikipedia.org/wiki/Telecommunications_in_Malawi
fiber,MYS,TM Unifi,https://unifi.com.my/fibre-broadband
fiber,MYS,Maxis,https://www.maxis.com.my/en/broadband/maxis-fibre
fiber,MYS,TIME,https://www.time.com.my/?contract=24
fiber,NAM,MTC Namibia,https://temovision.com/mtc-namibia-bundles/
fiber,NAM,Telecom Namibia,https://en.wikipedia.org/wiki/Telecom_Namibia
fiber,NAM,Paratus Namibia,https://paratus.africa/namibia/
fiber,NER,Orange Niger,https://vosreponses.com/meilleurs-forfaits-internet-au-niger-en-2025/
fiber,NER,Niger Telecom,https://www.nigertelecoms.ne/
fiber,NER,Liptinfor,https://www.liptinfor.net/rates.pdf
fiber,NGA,ipNX,https://elowise.ng/ipnx-internet-review-nigeria-2026-plans-speed-coverage/
fiber,NGA,MTN Nigeria,https://www.mtn.ng/broadband/fibrex/
fiber,NGA,FiberOne,https://www.legit.ng/ask-legit/guides/1677926-heres-a-fiberones-residential-plans-coverage-areas/
fiber,NIC,Claro,https://www.claro.com.ni/personas/servicios/servicios-hogar/cobertura-internet/
fiber,NIC,Tigo,https://ayuda.tigo.com.ni/hc/centro-de-ayuda/articles/1740423272
fiber,NLD,KPN,https://www.kpn.com
fiber,NLD,Ziggo,https://www.ziggo.nl
fiber,NLD,Odido,https://www.odido.nl
fiber,NOR,Telenor,https://www.telenor.no
fiber,NOR,Altibox (Lyse),https://www.altibox.no
fiber,NOR,Telia Norge (Get),https://www.telia.no
fiber,NPL,WorldLink,https://www.worldlink.com.np/
fiber,NPL,Subisu CableNet,https://www.subisu.net.np/
fiber,NPL,Nepal Telecom (NTC),https://www.ntc.net.np/
fiber,NRU,Digicel Nauru,https://www.digicelpacific.com/mobile/nr/bundles
fiber,NZL,Spark,https://www.broadband.co.nz/spark
fiber,NZL,2degrees,https://www.broadband.co.nz/2degrees
fiber,NZL,One NZ,https://www.broadband.co.nz/one-nz
fiber,OMN,Omantel,https://gsmplans.com/plan/oman/omantel-baiti-home-internet-oman/
fiber,OMN,Ooredoo Oman,https://gsmplans.com/plan/oman/ooredoo-manzili-home-internet-oman/
fiber,OMN,Awasr,https://www.awasr.com/
fiber,PAK,Pakistan Telecommunication Company (PTCL),https://speedtester.pk/fiber-internet-pakistan
fiber,PAK,StormFiber (Cybertel),https://propakistani.pk/packages/internet-packages/stormfiber-packages
fiber,PAK,Nayatel,https://propakistani.pk/2026/06/19/nayatel-increases-prices-of-home-internet-packages
fiber,PAN,Tigo,https://insidepanama.com/es/vida-cotidiana/internet-operadores-panama-2026
fiber,PAN,+Movil (Cable & Wireless),https://panamarealestateguide.com/living/internet-providers-panama-expats
fiber,PAN,Movistar,https://panacrypto.com/es/conectividad-internet-panama/
fiber,PER,Movistar,https://www.movistar.com.pe
fiber,PER,Claro,https://www.claro.com.pe
fiber,PER,Bitel,https://www.bitel.com.pe
fiber,PHL,PLDT,https://pldthome.com/fiber-unli-all
fiber,PHL,Globe,https://www.globe.com.ph/about-us/newsroom/consumer/globe-at-home-new-gfiber-plans-family-bundle-worth-7k
fiber,PHL,Converge,https://fiberx.convergeict.com/products/plans/22
fiber,PLW,PNCC (Palau National Communications Corp),https://www.pnccpalau.com/residential-and-personal/internet
fiber,PNG,Telikom PNG,https://www.telikompng.com.pg/index.php/fixed-broadband/fixed-broadband-plans
fiber,PNG,ElluNet PNG,https://ellunetpng.com.pg
fiber,POL,Orange Polska,https://www.orange.pl
fiber,POL,Play (Netia),https://www.play.pl
fiber,POL,T-Mobile Polska,https://www.t-mobile.pl
fiber,PRT,MEO,https://www.meo.pt
fiber,PRT,NOS,https://www.nos.pt
fiber,PRT,Vodafone Portugal,https://www.vodafone.pt
fiber,PRY,Tigo,https://www.tigo.com.py
fiber,PRY,Claro,https://www.claro.com.py
fiber,PRY,Copaco,https://www.copaco.com.py
fiber,PSE,Paltel (Hadara),https://www.facebook.com/paltel.palastine/posts/1538542584953077/
fiber,QAT,Ooredoo,https://gsmplans.com/plan/qatar/ooredoo-home-plus-internet-qatar/
fiber,QAT,Vodafone Qatar,https://gsmplans.com/plan/qatar/vodafone-gigahome-fiber-qatar/
fiber,ROU,Digi (RCS&RDS),https://www.digi.ro
fiber,ROU,Orange România,https://www.orange.ro
fiber,ROU,Vodafone România,https://www.vodafone.ro
fiber,RUS,Rostelecom,https://www.rostelecom.ru
fiber,RUS,MGTS,https://www.mgts.ru
fiber,RUS,Beeline,https://www.beeline.ru
fiber,RWA,MTN Rwanda,https://www.mtn.co.rw/
fiber,SAU,STC,https://www.stc.com.sa/content/stc/sa/en/personal/homepackages/baity-bundles.html
fiber,SAU,Mobily,https://www.mobily.com.sa/web/en/personal/home/fiber-postpaid/fiber-postpaid-300
fiber,SAU,Zain,https://shop.sa.zain.com/en/product/fiber-home
fiber,SAU,Salam,https://salam.sa/en/personal/fiber-postpaid
fiber,SDN,Sudani (Sudatel),https://en.wikipedia.org/wiki/Telecommunications_in_Sudan
fiber,SEN,Orange Sénégal,https://prixdakar.com/les-tarifs-de-linternet-au-senegal-comparatif-des-offres-adsl-et-fibre-en-2026/
fiber,SEN,Yas Sénégal,https://prixdakar.com/les-tarifs-de-linternet-au-senegal-comparatif-des-offres-adsl-et-fibre-en-2026/
fiber,SEN,Expresso Sénégal,https://prixdakar.com/les-tarifs-de-linternet-au-senegal-comparatif-des-offres-adsl-et-fibre-en-2026/
fiber,SGP,Singtel,https://www.singnet.com.sg/
fiber,SGP,StarHub,https://www.starhub.com/personal/store/broadband.html
fiber,SGP,M1,https://www.m1.com.sg/home-broadband
fiber,SLB,Our Telekom,https://ourtelekom.com.sb/personal/prepaid-broadband
fiber,SLE,Orange Sierra Leone,https://www.orange.sl/en/b2c-internet-personal/data-bundles-monthly.html
fiber,SLE,Africell Sierra Leone,https://www.africell.sl/services/data-bundles/
