iso3,country,region,n_ops,operators,avg_10gb,per_gb,pct_income,unlim_yes,unlim_throttled,unlim_no,avg_unlimited_price,fiveg_share,fup_summary,gni,gni_note,gdp,bigmac,price_bigmacs,pop
TKM,Turkmenistan,Asia,1,TMCELL (Altyn Asyr),20.0,2.0,4.26,0,0,100,,0,no unlimited offer published - packages are volume-capped (20GB pack activated by USSD),5640.0,wb,5904.0,,,7.5
JPN,Japan,Asia,3,NTTドコモ | KDDI (au) | SoftBank,19.2,1.92,0.62,33,67,0,52.58,100,200GB then 5Mbps; tethering 80GB then 128kbps ;; 300GB in rolling 30 days then 4.5Mbps ;; truly unlimited (docomo MAX has no speed cap; 5G device required),37170.0,wb,33797.0,3.08,6.234,124.0
DEU,Germany,Europe,3,Deutsche Telekom | Vodafone | Telefonica Germany (o2),19.17,1.917,0.42,100,0,0,57.49,100,150GB per month at full speed then free 1GB top-up blocks re-booked in the app ;; fair-use clause - no published numeric cap; EU roaming allotment applies ;; none published domestically - fair-use personal-use clause only (resellers advertise keine Drosselung),55090.0,wb,56104.0,,,85.0
AND,Andorra,Europe,3,Andorra Telecom | Movistar España | Orange France,19.17,1.917,0.48,67,0,33,45.97,100,20/50GB lines continue at max 2 Mbps after the allowance; Ilimitada only a reasonable-use clause ;; none domestically - nearest-market row ;; prepaid M rate includes 12GB then the service is suspended until top-up,47740.0,wb,49357.0,,,0.081
SLB,Solomon Islands,Oceania,2,Our Telekom | bmobile-Vodafone Solomon,18.95,1.895,11.91,0,0,100,,0,no unlimited offered,1910.0,wb,1934.0,,,0.83
PAN,Panama,North America,4,Tigo | +Movil | Mas Movil | Movistar,18.75,1.875,1.25,25,25,50,57.5,50,No unlimited tier confirmed; declining #4 operator (ex-Telefónica) - VERIFY ;; No unlimited tier sold; largest prepaid bucket is 30GB for $25 (8GB/$15 and 15GB/$20 also offered) ;; Pospago unlimited 5G ($40) marketed without a data cap; 50GB/$25 tier otherwise; fair-use threshold not published - VERIFY ;; Prepaid 'unlimited' throttled after 30-50GB; pospago $75 tier marketed as unlimited 5G with no published cap,17950.0,wb,19161.0,,,4.5
LUX,Luxembourg,Europe,3,POST Luxembourg | Orange Luxembourg | Tango,18.4,1.84,0.26,100,0,0,51.75,100,unlimited LU+EU+US - fair-use clause applies (Orange LU) ;; unlimited in Luxembourg - 70GB in the EU on GO Mobile Unlimited ;; unlimited national data starts at the XL tier - EU roaming up to 110GB on MAXI,84650.0,wb,137782.0,,,0.67
TGO,Togo,Africa,3,Yas Togo (ex-Togocom) | Moov Africa Togo | Libercom,17.49,1.749,17.2,0,0,67,,0,? ;; none,1220.0,wb,1266.0,,,9.5
BEL,Belgium,Europe,3,Proximus | Telenet | BASE,17.25,1.725,0.37,67,0,33,51.75,100,fair-use - domestic unlimited with a capped EU roaming allotment ;; fair-use - no published domestic cap; EU roaming capped ;; largest published bucket is 300GB - no unlimited tariff offered,55290.0,wb,56582.0,,,12.0
MCO,Monaco,Europe,3,Monaco Telecom | Orange France | SFR,17.25,1.725,0.07,67,0,33,40.24,100,largest published plan is 100GB - no unlimited tariff found ;; none domestically - nearest-market row ;; none domestically - nearest-market row because Monaco has a single MNO,288002.0,wb,288002.0,,,0.039
NLD,Netherlands,Europe,3,KPN | Vodafone | Odido,16.87,1.687,0.32,100,0,0,30.28,100,10GB per day at full speed - free 2GB top-up bundles auto-added when the daily bucket is used ;; domestic unlimited - EU roaming capped at 40GB full speed on the Unlimited50 tier ;; unlimited is speed-tiered rather than volume-capped - no published domestic threshold,62500.0,wb,67465.0,,,18.0
PNG,Papua New Guinea,Oceania,3,Digicel | Telikom PNG (bmobile-Vodafone) | Vodafone PNG (Digitec Communications),16.85,1.685,7.07,0,0,100,,0,no unlimited offered,2860.0,wb,2912.0,,,10.6
BFA,Burkina Faso,Africa,3,Orange Burkina Faso | Moov Africa Burkina Faso | Telecel Burkina Faso,16.62,1.662,23.46,0,0,100,,0,none,850.0,wb,982.0,,,23.0
CYP,Cyprus,Asia,3,CYTA (EPITEL) | MTN Cyprus | Epic,16.24,1.624,0.59,0,33,67,40.6,0,'unlimited' postpaid offers apply fair use - speed reduced after a high-volume quota ;; no true unlimited prepaid - monthly packs are volume-capped,32870.0,wb,38674.0,,,1.4
FRA,France,Europe,3,Orange | SFR | Free Mobile,16.1,1.61,0.43,100,0,0,36.79,100,none - truly unlimited domestic with no published threshold ;; none domestically - fair-use clause only ;; none domestically - no published cap on forfait illimite; EU roaming 25GB,45160.0,wb,46103.0,,,66.0
ESP,Spain,Europe,3,Movistar | Orange España | Vodafone España,16.1,1.61,0.58,100,0,0,40.22,100,100GB at full 5G+ speed then 2 Mbps on Go Ilimitada ;; 20/50GB lines continue unlimited at max 2 Mbps after the allowance; Ilimitada only carries a reasonable-use clause ;; speed-capped unlimited tiers - base Ilimitada capped at 2 Mbit/s with no volume cap,33550.0,wb,35327.0,,,48.0
NZL,New Zealand,Oceania,3,Spark | One NZ | 2degrees,15.72,1.572,0.4,67,33,0,45.53,100,Max speed for 100GB per month then 1Mbps ;; Unlimited Max has no data cap; cheaper Endless plans drop to 1.2Mbps after max-speed data ;; truly unlimited (no published speed cap on Spark Endless),47070.0,wb,49432.0,5.14,3.058,5.3
BRN,Brunei,Asia,3,DST | Progresif | Imagine (TelBru),15.63,1.563,0.52,0,0,100,,100,no unlimited offer published - quota packs only,36020.0,wb,33153.0,,,0.46
GUY,Guyana,South America,2,Digicel | One Communications (ex-GTT),15.5,1.55,0.7,0,0,100,,0,sin oferta ilimitada publicada (knowledge; digicel.gy no resuelve) ;; sin oferta ilimitada publicada (knowledge; gtt.co.gy con certificado TLS invalido),26400.0,wb,29675.0,,,0.83
COG,Republic of the Congo,Africa,3,MTN Congo | Airtel Congo | Congo Telecom,15.3,1.53,8.09,0,0,67,,0,? ;; none,2270.0,wb,2482.0,,,6.3
SUR,Suriname,South America,2,Telesur | Digicel,15.27,1.527,3.22,0,0,100,,50,"sin oferta ilimitada publicada (knowledge) ;; sin oferta ilimitada publicada: mayor bolsa ""30dias(5G)"" SRD3.799 con300GB (y hasta1.200GB acumulables) y bolsa30dias SRD953 con75GB; el Happy Hour ilimitado de1 hora (SRD40) no es una oferta mensual",5690.0,wb,6962.0,,,0.63
FJI,Fiji,Oceania,2,Vodafone Fiji | Digicel Fiji,14.57,1.457,3.0,0,0,100,,0,no unlimited offered,5820.0,wb,6426.0,,,0.93
ITA,Italy,Europe,3,TIM | Vodafone Italia | WindTre,14.56,1.456,0.45,100,0,0,24.91,100,200GB at full speed then unlimited throttled to 10 Mbit/s (Go Unlimited terms) ;; good-faith use clause - no published numeric threshold ;; unlimited traffic subject to lawful and correct use - TIM may cap speed or reprice on breach,38640.0,wb,40430.0,,,59.0
VAT,Vatican City,Europe,3,TIM Italia | Vodafone Italia | WindTre,14.56,1.456,0.35,100,0,0,24.91,100,200GB at full speed then unlimited throttled to 10 Mbit/s ;; good-faith use clause - no published numeric threshold ;; unlimited traffic subject to lawful and correct use - no numeric cap published,50000.0,wb,,,,0.001
CMR,Cameroon,Africa,3,MTN Cameroon | Orange Cameroon | Nexttel (Viettel),13.99,1.399,9.93,0,0,33,,0,? ;; none,1690.0,wb,1830.0,,,29.0
MDG,Madagascar,Africa,2,Telma | Airtel Madagascar,13.9,1.39,32.08,0,0,100,,0,none,520.0,wb,550.0,,,32.0
ISL,Iceland,Europe,3,Síminn | Sýn (Vodafone Iceland) | Nova,13.8,1.38,0.2,100,0,0,43.77,100,truly unlimited - tethering allowed - roaming bundle for Nordics and EU ;; truly unlimited in Iceland - Nordic and EU roaming allowance included ;; truly unlimited with no data cap - partner-network roaming caps apply outside Iceland,80910.0,wb,85863.0,,,0.39
PRY,Paraguay,South America,3,Tigo | Claro | Personal,13.75,1.375,2.62,67,0,33,18.09,0,"""Packs Ilimitados"" prepago desde Gs10.000 con ""Noches Ilimitadas"" incluidas; umbral de FUP no publicado en personal.com.py ;; Paquetigos con gigas ILIMITADOS prepago (CONEXION ILIMITADA de1 a8 dias · Gs10.000-40.000) y combos con ""Gigas ilimitados en el movil"" desde Gs205.000 con wifi300M; en roaming: tras agotar el limite la navegacion continua a velocidad reducida hasta el siguiente ciclo de acreditacion ;; sin oferta ilimitada publicada en claro.com.py: mayor plan captado Plan100GIGAS = Gs100.000/mes (100GB)",6290.0,wb,6457.0,,,6.9
BLZ,Belize,North America,2,Digi | SMART,13.5,1.35,2.27,0,100,0,37.5,0,Bundle-based; unlimited thresholds not published - VERIFY ;; Data bundle then slowed or stops per plan; no published unlimited threshold - VERIFY,7150.0,wb,7681.0,,,0.42
CRI,Costa Rica,North America,2,Kolbi | Liberty,13.5,1.35,1.03,0,100,0,42.5,0,Fair use: reduced speed after included data; threshold not published - VERIFY,15710.0,wb,18853.0,7.0,1.929,5.2
BHS,Bahamas,North America,2,BTC | Aliv,13.5,1.35,0.44,0,100,0,47.5,0,Fair use: reduced speed after included data; threshold not published - VERIFY,37020.0,wb,39455.0,,,0.4
MDV,Maldives,Asia,2,Dhiraagu | Ooredoo Maldives,13.45,1.345,1.4,0,0,100,,50,no true unlimited prepaid - data packs expire with 30-day validity ;; no true unlimited prepaid - packs capped with 30-day validity and 8% GST applies,11540.0,wb,13379.0,,,0.53
BEN,Benin,Africa,2,MTN Benin | Moov Africa Benin,13.12,1.312,11.01,0,100,0,30.6,0,15GB then 512Kbps ;; 35GB then 512Kbps,1430.0,wb,1485.0,,,14.0
SMR,San Marino,Europe,3,TIM San Marino | TIM Italia | WindTre,13.01,1.301,0.29,67,0,33,20.11,100,200GB at full speed then unlimited throttled to 10 Mbit/s ;; largest published tier is +Mobile 200GB - no unlimited tariff found ;; unlimited traffic subject to lawful and correct use - no numeric cap published,53910.0,wb,59871.0,,,0.034
TZA,Tanzania,Africa,3,Vodacom Tanzania | Airtel Tanzania | Halotel,13.0,1.3,12.89,0,0,100,,67,none,1210.0,wb,1193.0,,,69.0
ZWE,Zimbabwe,Africa,3,Econet Wireless | NetOne | Telecel Zimbabwe,13.0,1.3,6.5,0,33,67,45.0,33,200GB FUP then throttled (SmartBiz $45; was1TB before Jul-2025) ;; none,2400.0,wb,2496.0,,,17.0
URY,Uruguay,South America,3,Antel | Tigo (ex-Movistar) | Claro,12.93,1.293,0.71,0,33,67,35.69,33,"planes ""sin limite"" de Antel con tope de alta velocidad publicado:130GB (UYU1.435/mes) o210GB (UYU2.290/mes); politica post-tope no especificada en tienda.antel ;; sin oferta ilimitada publicada: mayor plan200GB = UYU1.500/mes (tienda.claro.com.uy) ;; sin oferta ilimitada publicada: packs prepago hasta150GB (10 dias · UYU340) y paquete30dias =60GB por UYU500",22000.0,wb,24308.0,8.94,1.447,3.4
GMB,Gambia,Africa,3,Africell Gambia | QCell Gambia | Gamcel (Gamtel),12.77,1.277,17.41,0,0,33,,0,? ;; none,880.0,wb,871.0,,,2.8
TON,Tonga,Oceania,1,Digicel Tonga,12.6,1.26,2.41,100,0,0,83.98,100,No fair-use speed cap published - 30-day Unlimited Any Use Data product,6270.0,wb,6215.0,,,0.11
IRL,Ireland,Europe,3,eir | Vodafone Ireland | Three Ireland,12.5,1.25,0.19,100,0,0,29.1,100,truly unlimited - EU roaming fair-use 25 GB per 30 days ;; truly unlimited with tethering allowed - EU roaming fair-use 25 GB,80650.0,wb,112895.0,,,5.3
TTO,Trinidad and Tobago,North America,2,TSTT | Digicel,12.5,1.25,0.78,0,100,0,40.0,0,Fair use: reduced speed after included data; threshold not published - VERIFY,19290.0,wb,18733.0,,,1.4
SGP,Singapore,Asia,3,Singtel | StarHub | M1,11.51,1.151,0.18,33,67,0,36.9,100,1.2TB FUP (S$35 plan) / 1.5TB (S$40 plan) then reduced ;; fair-use policy applies to M1 unlimited (no published GB threshold) ;; truly unlimited on 5G Unlimited+ Core SIM-only - no published data cap (prepaid 5G Plus carries FUP),75820.0,wb,94897.0,5.77,1.995,6.0
CPV,Cabo Verde,Africa,2,CVMovel | Unitel T+,11.47,1.147,2.79,0,0,50,,0,? ;; none,4940.0,wb,5170.0,,,0.53
NOR,Norway,Europe,3,Telenor | Telia Norge | Ice,11.47,1.147,0.14,100,0,0,31.67,100,truly unlimited - tethering allowed - Nordic roaming included ;; truly unlimited on its own network - EU roaming as non-EU fair-use ;; truly unlimited with no data cap - non-EU roaming follows Nordic agreements,100030.0,wb,89889.0,8.05,1.424,5.6
SWE,Sweden,Europe,3,Telia | Tele2 | Telenor,11.33,1.133,0.23,100,0,0,27.27,100,truly unlimited - Nordics roaming included - EU fair-use 25 GB ;; truly unlimited in the Nordics - EU roaming fair-use 25 GB per 30 days ;; truly unlimited with tethering allowed - EU roaming fair-use 25 GB,58510.0,wb,57223.0,7.16,1.583,10.6
UGA,Uganda,Africa,3,MTN Uganda | Airtel Uganda | Uganda Telecom (UTL),11.27,1.127,13.39,0,33,67,48.4,33,700GB FUP (listing shows700000MB) ;; none,1010.0,wb,1078.0,,,50.0
ISR,Israel,Asia,3,Partner Communications | Cellcom | Pelephone,11.14,1.114,0.25,100,0,0,16.47,100,truly unlimited - Israeli operators publish no monthly volume cap (some plans cap hotspot or max speed instead) ;; truly unlimited - no published monthly volume cap ;; truly unlimited - no published monthly volume cap (fair use applies to tethering on some plans),53090.0,wb,54217.0,7.67,1.453,9.4
NAM,Namibia,Africa,2,MTC Namibia | TN Mobile (Telecom Namibia),11.1,1.11,3.1,50,0,50,,0,none ;; threshold not published,4290.0,wb,4502.0,,,3.0
AUT,Austria,Europe,3,A1 | Magenta | Drei (Hutchison Drei),11.07,1.107,0.24,100,0,0,39.02,100,unlimited in Austria - EU 67GB on Mobile Unlimited M; Magenta Fair Use Policy published 12.06.2017 ;; unlimited in Austria - EU roaming 60GB on A1 Mobil S; speed tiers 150/300/500 Mbit/s ;; unlimited with fair-use - speed and EU caps per Drei terms,54760.0,wb,58269.0,,,9.2
BRB,Barbados,North America,2,Flow | Digicel,11.0,1.1,0.52,0,100,0,37.5,0,Fair use: reduced speed after included data; threshold not published - VERIFY,25360.0,wb,26897.0,,,0.28
VCT,Saint Vincent and the Grenadines,North America,2,Flow | Digicel,11.0,1.1,1.18,0,100,0,37.5,0,Fair use: reduced speed after included data; threshold not published - VERIFY,11210.0,wb,11501.0,,,0.1
ATG,Antigua and Barbuda,North America,2,Flow | Digicel,11.0,1.1,0.62,0,100,0,38.0,0,Fair use: reduced speed after included data; threshold not published - VERIFY,21200.0,wb,23060.0,,,0.09
KNA,Saint Kitts and Nevis,North America,2,Flow | Digicel,11.0,1.1,0.6,0,100,0,36.5,0,Fair use: reduced speed after included data; threshold not published - VERIFY,21960.0,wb,23961.0,,,0.047
PRT,Portugal,Europe,3,MEO | NOS | Vodafone Portugal,10.89,1.089,0.49,100,0,0,30.28,100,fair-use and Acceptable Use Policy ;; fair-use and Acceptable Use Policy - no published domestic threshold ;; none domestically - unlimited has no traffic limit; Acceptable Use Policy caps roaming outside Portugal,26940.0,wb,29328.0,,,10.4
AGO,Angola,Africa,2,Unitel | Africell Angola,10.76,1.076,4.53,0,0,0,,0,?,2850.0,wb,2721.0,,,38.0
VEN,Venezuela,South America,3,Digitel | Movilnet | Movistar,10.74,1.074,3.36,0,0,100,,0,sin oferta ilimitada publicada y tarifas moviles no publicadas (Movilnet conservo precios en may-2026 segun primicia.com.ve) ;; sin oferta ilimitada publicada: mayor plan Inteligente Plus30GB = USD25 (ago-2026) ;; sin oferta ilimitada publicada: mayor plan Plus25GB = USD18.11 (sep-2026),3840.0,wb,4244.0,4.51,2.381,28.0
SVN,Slovenia,Europe,3,Telekom Slovenije | A1 Slovenija | Telemach Slovenia,10.73,1.073,0.41,67,33,0,27.98,100,after the data included in the VEC package speed is cut to max 64 kbit/s ;; fair-use - domestic unlimited with a capped EU allotment ;; fair-use clause,31790.0,wb,34301.0,,,2.1
MLT,Malta,Europe,3,GO | Epic (ex-Vodafone Malta) | Melita,10.54,1.054,0.35,100,0,0,28.36,100,Endless local data - fair-use and roaming caps apply ;; fair-use - local unlimited with EU/UK roaming caps ;; fair-use clause,36540.0,wb,44024.0,,,0.56
LCA,Saint Lucia,North America,2,Flow | Digicel,10.5,1.05,0.98,0,100,0,36.5,0,Fair use: reduced speed after included data; threshold not published - VERIFY,12840.0,wb,14494.0,,,0.18
GRD,Grenada,North America,2,Flow | Digicel,10.5,1.05,1.17,0,100,0,35.5,0,Fair use: reduced speed after included data; threshold not published - VERIFY,10790.0,wb,11529.0,,,0.12
DMA,Dominica,North America,2,Flow | Digicel,10.5,1.05,1.27,0,100,0,35.5,0,Fair use: reduced speed after included data; threshold not published - VERIFY,9930.0,wb,10405.0,,,0.073
GAB,Gabon,Africa,3,Airtel Gabon | Moov Africa Gabon | Libertis,10.49,1.049,1.6,0,0,67,,33,? ;; none,7870.0,wb,8230.0,,,2.5
GBR,United Kingdom,Europe,3,EE | Vodafone UK | Three UK,10.47,1.047,0.25,67,33,0,25.17,100,truly unlimited with full-speed 5G and tethering allowed ;; truly unlimited with no speed cap - EU roaming fair-use 25 GB per 30 days ;; unlimited but capped at 38 Mbps on the Lite tariff while Max tier reaches up to 1 Gbps,49320.0,wb,53341.0,7.4,1.414,69.0
HRV,Croatia,Europe,3,Hrvatski Telekom (HT) | A1 Hrvatska | Telemach Hrvatska,10.35,1.035,0.56,100,0,0,31.82,100,fair-use - domestic unlimited with a capped EU roaming allotment ;; fair-use clause ;; fair-use clause - no published domestic threshold,22230.0,wb,24050.0,,,3.9
MNE,Montenegro,Europe,3,Crnogorski Telekom | m:tel Montenegro | One Crna Gora (ex-Telenor),10.35,1.035,1.02,100,0,0,25.68,100,fair-use clause,12210.0,wb,13270.0,,,0.63
MEX,Mexico,North America,3,Telcel | AT&T Mexico | Movistar,10.33,1.033,0.97,0,100,0,19.0,67,Plan Pro Ilimitado keeps the connection after the high-speed volume; Politica de Uso Justo may temporarily reduce speed (published example: 10GB at max speed) ;; Politica de Uso Justo permits temporary speed reduction after the plan's data volume is reached; exact GB threshold not disclosed ;; Politica de Uso Justo: 200GB of navigation at maximum speed then reduced speeds with no per-kilobyte charges (Ultra Ilimitado tier),12760.0,wb,13988.0,6.27,1.648,131.0
MOZ,Mozambique,Africa,3,Vodacom Moçambique | Movitel | Tmcel,10.15,1.015,22.15,0,0,100,,0,none,550.0,wb,657.0,,,35.0
VUT,Vanuatu,Oceania,2,Digicel | Vodafone Vanuatu (TVL),10.14,1.014,2.95,0,0,100,,0,no unlimited offered,4130.0,wb,3960.0,,,0.34
DNK,Denmark,Europe,3,Telenor Denmark | Hi3G Denmark (3) | TDC NET (Nuuday/YouSee),10.1,1.01,0.17,100,0,0,25.27,100,truly unlimited - EU roaming fair-use 25 GB per 30 days ;; truly unlimited in Denmark - EU roaming fair-use 25 GB per 30 days ;; truly unlimited with tethering allowed - EU roaming fair-use 25 GB,72540.0,wb,71026.0,7.04,1.435,6.0
GTM,Guatemala,North America,2,Tigo | Claro,10.0,1.0,2.08,0,100,0,27.0,0,Fair use (politica de uso justo): reduced speed after included high-speed data; threshold not published - VERIFY ;; Fair use: speed reduced after the included high-speed bucket; GB threshold not published - VERIFY,5780.0,wb,6151.0,4.46,2.242,18.0
SLV,El Salvador,North America,2,Claro | Tigo,10.0,1.0,2.37,0,100,0,30.0,0,Fair use: reduced speed after included data; threshold not published - VERIFY ;; Politica de uso justo: reduced speed after included data; threshold not published - VERIFY,5070.0,wb,5503.0,,,6.3
CUB,Cuba,North America,1,ETECSA,10.0,1.0,1.25,0,0,100,,0,No unlimited plan exists; data sold only in timed packages (service stops when the package expires); no slow-after-cap unlimited offered,9605.0,wb,9605.0,,,11.0
JAM,Jamaica,North America,2,Digicel | Flow,10.0,1.0,1.67,0,100,0,33.5,0,Fair use: reduced speed after included data; threshold not published - VERIFY,7190.0,wb,7754.0,,,2.8
ECU,Ecuador,South America,3,Claro | Tigo (ex-Movistar) | CNT,9.86,0.986,1.85,0,0,100,,0,sin oferta ilimitada publicada (cnt.gob.ec inaccesible desde el crawler) ;; sin oferta ilimitada publicada en claro.com.ec (paginas de prepago y pospago sin precios en SSR) — knowledge ;; sin oferta ilimitada publicada: planes pospago captados Plus20GB USD16.09 inc.imp. y Pro22GB USD21.84 inc.imp. — todo en bolsa,6400.0,wb,6827.0,,,18.0
MYS,Malaysia,Asia,3,Maxis (Hotlink) | CelcomDigi | U-Mobile,9.68,0.968,1.0,0,100,0,13.73,100,150GB FUP then 512kbps until pass expires (RM35 = 18Mbps; RM45 Power45 = 48Mbps after 250GB) ;; legacy unlimited passes throttle to 512kbps after FUP; ULTRA 2026 prepaid is capped-quota at unlimited speed ;; unlimited passes run 3GB/day full speed then unlimited at 1Mbps (30-day RM118),11650.0,wb,11874.0,3.57,2.712,36.0
FIN,Finland,Europe,3,Elisa | DNA | Telia Finland,9.33,0.933,0.22,100,0,0,26.23,100,truly unlimited - tethering allowed - EU roaming fair-use 25 GB ;; truly unlimited on 5G - EU roaming fair-use 25 GB ;; truly unlimited with no cap - EU roaming fair-use 25 GB per 30 days,51710.0,wb,53156.0,,,5.6
